sku,name,category,price,stock
SKU-1001,无线蓝牙耳机,数码,299.00,150
SKU-1002,机械键盘,数码,459.00,80
SKU-1003,电竞鼠标,数码,199.00,200
SKU-1004,27寸显示器,数码,1899.00,45
SKU-1005,USB-C 扩展坞,数码,259.00,120
SKU-1006,降噪头戴耳机,数码,1299.00,60
SKU-1007,桌面音响,数码,399.00,75
SKU-1008,摄像头,数码,349.00,90
SKU-1009,移动电源,数码,149.00,300
SKU-1010,读卡器,数码,59.00,500
,无线充电板,数码,89.00,110
SKU-1012,智能手环,穿戴,399.00,130
SKU-1013,运动手表,穿戴,1299.00,55
SKU-1014,帆布鞋,服饰,-59.00,200
SKU-1015,连帽卫衣,服饰,199.00,180
SKU-1016,牛仔外套,服饰,399.00,95
SKU-1017,纯棉T恤,服饰,79.00,350
SKU-1018,休闲裤,服饰,159.00,140
SKU-1019,双肩包,箱包,299.00,88
SKU-1020,行李箱,箱包,599.00,40
SKU-1021,洗漱包,箱包,89.00,160
SKU-1022,帆布托特包,箱包,129.00,120
SKU-1023,保温杯,家居,69.00,400
SKU-1024,香薰蜡烛,家居,99.00,150
